city,hotel_name,tier,platform,score,nationality,trip_type,room_type,stay_nights,source_file,agoda_agg_score,booking_agg_score,is_asian_reviewer,is_solo,score_gap,nationality_known
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.0,United States,Family with young children,Unknown,3,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.0,France,Couple,Unknown,3,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.0,Belgium,Couple,Unknown,3,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Switzerland,Solo traveler,One-Bedroom Duplex Suite,7,bali_a,9.1,9.6,0.0,1,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Switzerland,Solo traveler,ONE BEDROOM DUPLEX SUITE KING DOUBLE TERRACES UPPER LEVEL LIVING ROOM,8,bali_a,9.1,9.6,0.0,1,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Netherlands,Couple,One-Bedroom Duplex Suite,2,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Japan,Group,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.7,Japan,Family with young children,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,6.0,Japan,Business traveler,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,6.0,Japan,Business traveler,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,4.0,Japan,Group,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,7.0,Japan,Couple,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Japan,Business traveler,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.3,Japan,Family with teens,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,7.3,Japan,Family with teens,Unknown,3,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,South Korea,Family with young children,One Bedroom Villa (2 Queen Beds),2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,South Korea,Couple,One Bedroom Duplex Suite (1 King Size Bed),1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.7,China,Family with young children,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,7.3,China,Couple,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.3,China,Family with young children,Unknown,3,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.7,China,Couple,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.7,China,Business traveler,Unknown,1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,8.7,China,Couple,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Indonesia,Couple,Unknown,3,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Saudi Arabia,Couple,Riverfront One Bedroom Villa (1 King Size Bed),3,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Saudi Arabia,Family with young children,Unknown,2,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,9.7,Saudi Arabia,Couple,Unknown,2,bali_a,9.1,9.6,0.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,10.0,Vietnam,Couple,One Bedroom Duplex Suite (1 King Size Bed),1,bali_a,9.1,9.6,1.0,0,-0.5,1
Bali,Four Seasons Resort Bali at Sayan,Luxury,Agoda,6.7,Taiwan,Family with teens,Unknown,2,bali_a,9.1,9.6,1.0,0,-0.5,1
